,weight,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,var_95_daily,cvar_95_daily,var_99_daily,beta_vs_SPY
EFA,0.1,0.1652,0.1973,0.7719,1.175,-0.1919,0.8609,0.0185,0.0244,0.0281,0.833
GLD,0.1,0.0551,0.1436,0.306,0.443,-0.2249,0.2449,0.0144,0.0182,0.0204,0.0508
IWM,0.05,0.0763,0.2359,0.3446,0.517,-0.415,0.184,0.0217,0.0294,0.031,1.058
LQD,0.1,0.055,0.0929,0.4073,0.5837,-0.1454,0.378,0.0092,0.012,0.0139,0.1701
QQQ,0.15,0.2004,0.2654,0.7451,1.1501,-0.3496,0.5733,0.0239,0.033,0.0351,1.2411
SPY,0.25,0.1238,0.1875,0.6092,0.932,-0.3787,0.3269,0.0177,0.023,0.0259,1.0
TLT,0.15,-0.0427,0.1562,-0.3291,-0.4546,-0.4094,-0.1042,0.017,0.0201,0.0224,-0.2675
VNQ,0.1,0.1082,0.2179,0.4883,0.7474,-0.4825,0.2243,0.0201,0.0254,0.0271,0.7448
PORTFOLIO,1.0,0.1056,0.1281,0.6918,1.0732,-0.2072,0.51,0.0116,0.0153,0.0162,0.6288
