,weight,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,var_95_daily,cvar_95_daily,var_99_daily,beta_vs_SPY
EFA,0.1,0.0885,0.1664,0.4728,0.6923,-0.2927,0.3025,0.0158,0.0225,0.0267,0.7745
GLD,0.1,0.1921,0.1883,0.9214,1.3055,-0.264,0.7273,0.018,0.0272,0.0314,0.1677
IWM,0.05,0.058,0.224,0.2742,0.3958,-0.3191,0.1817,0.0217,0.0302,0.0352,1.1074
LQD,0.1,-0.0136,0.0868,-0.3446,-0.4768,-0.2454,-0.0554,0.0096,0.0122,0.014,0.1934
QQQ,0.15,0.1568,0.2303,0.6605,0.9528,-0.3512,0.4464,0.0231,0.0325,0.0389,1.2712
SPY,0.25,0.1322,0.1721,0.6911,1.0,-0.245,0.5397,0.0166,0.0247,0.0293,1.0
TLT,0.15,-0.0838,0.1571,-0.606,-0.8331,-0.437,-0.1919,0.0166,0.0214,0.0252,0.0857
VNQ,0.1,0.0121,0.1891,0.0525,0.0738,-0.3448,0.0352,0.0199,0.0274,0.0292,0.7217
PORTFOLIO,1.0,0.0791,0.1299,0.4973,0.7195,-0.2627,0.3012,0.0128,0.0182,0.0208,0.6946
